Id,Date,Delta T [min],Sensor,Calibration,User,Oxygen,Oxygen Unit,Temperature,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],User Signal Intensity,Error,Error Code,Phase [°],Amplitude [µV],Reference Amplitude [µV],Signal LED Current,Reference LED Current,Battery [V]
10482,20-7-20 14:13:04,0.000,sensor_2 (PSt3),20-7-20 11:22:50,test2.2020-06-01,7.248,ppm (mg/L),15.314,°C,1023.000,hPa,Humid,28,0,,0,29.502,41471,49754.59,7.00,2500.00,#N/A
10486,20-7-20 14:13:07,0.050,sensor_2 (PSt3),20-7-20 11:22:50,test2.2020-06-01,7.240,ppm (mg/L),15.326,°C,1023.000,hPa,Humid,28,0,,0,29.509,41471,49754.82,7.00,2500.00,#N/A
10490,20-7-20 14:13:10,0.100,sensor_2 (PSt3),20-7-20 11:22:50,test2.2020-06-01,7.251,ppm (mg/L),15.314,°C,1023.000,hPa,Humid,28,0,,0,29.498,41472,49751.37,7.00,2500.00,#N/A
10494,20-7-20 14:13:13,0.150,sensor_2 (PSt3),20-7-20 11:22:50,test2.2020-06-01,7.256,ppm (mg/L),15.289,°C,1023.000,hPa,Humid,28,0,,0,29.500,41466,49747.55,7.00,2500.00,#N/A
10498,20-7-20 14:13:16,0.200,sensor_2 (PSt3),20-7-20 11:22:50,test2.2020-06-01,7.253,ppm (mg/L),15.301,°C,1023.000,hPa,Humid,28,0,,0,29.500,41463,49750.56,7.00,2500.00,#N/A
10502,20-7-20 14:13:19,0.250,sensor_2 (PSt3),20-7-20 11:22:50,test2.2020-06-01,7.260,ppm (mg/L),15.277,°C,1023.000,hPa,Humid,28,0,,0,29.499,41460,49746.43,7.00,2500.00,#N/A
10506,20-7-20 14:13:22,0.300,sensor_2 (PSt3),20-7-20 11:22:50,test2.2020-06-01,7.258,ppm (mg/L),15.301,°C,1023.000,hPa,Humid,28,0,,0,29.492,41456,49743.97,7.00,2500.00,#N/A
10510,20-7-20 14:13:25,0.350,sensor_2 (PSt3),20-7-20 11:22:50,test2.2020-06-01,7.256,ppm (mg/L),15.295,°C,1023.000,hPa,Humid,28,0,,0,29.498,41453,49745.55,7.00,2500.00,#N/A
10514,20-7-20 14:13:28,0.400,sensor_2 (PSt3),20-7-20 11:22:50,test2.2020-06-01,7.261,ppm (mg/L),15.283,°C,1023.000,hPa,Humid,28,0,,0,29.495,41447,49741.52,7.00,2500.00,#N/A
10518,20-7-20 14:13:31,0.450,sensor_2 (PSt3),20-7-20 11:22:50,test2.2020-06-01,7.260,ppm (mg/L),15.283,°C,1023.000,hPa,Humid,28,0,,0,29.496,41445,49746.36,7.00,2500.00,#N/A
10522,20-7-20 14:13:34,0.500,sensor_2 (PSt3),20-7-20 11:22:50,test2.2020-06-01,7.259,ppm (mg/L),15.289,°C,1023.000,hPa,Humid,28,0,,0,29.495,41443,49744.93,7.00,2500.00,#N/A
10526,20-7-20 14:13:37,0.550,sensor_2 (PSt3),20-7-20 11:22:50,test2.2020-06-01,7.264,ppm (mg/L),15.289,°C,1023.000,hPa,Humid,28,0,,0,29.488,41439,49741.43,7.00,2500.00,#N/A
10530,20-7-20 14:13:40,0.600,sensor_2 (PSt3),20-7-20 11:22:50,test2.2020-06-01,7.265,ppm (mg/L),15.277,°C,1023.000,hPa,Humid,28,0,,0,29.492,41442,49745.18,7.00,2500.00,#N/A
10534,20-7-20 14:13:43,0.650,sensor_2 (PSt3),20-7-20 11:22:50,test2.2020-06-01,7.260,ppm (mg/L),15.295,°C,1023.000,hPa,Humid,28,0,,0,29.492,41437,49742.75,7.00,2500.00,#N/A
10538,20-7-20 14:13:46,0.700,sensor_2 (PSt3),20-7-20 11:22:50,test2.2020-06-01,7.256,ppm (mg/L),15.301,°C,1023.000,hPa,Humid,28,0,,0,29.495,41436,49741.05,7.00,2500.00,#N/A
10542,20-7-20 14:13:49,0.750,sensor_2 (PSt3),20-7-20 11:22:50,test2.2020-06-01,7.261,ppm (mg/L),15.301,°C,1023.000,hPa,Humid,28,0,,0,29.487,41435,49739.25,7.00,2500.00,#N/A
10546,20-7-20 14:13:52,0.800,sensor_2 (PSt3),20-7-20 11:22:50,test2.2020-06-01,7.265,ppm (mg/L),15.289,°C,1023.000,hPa,Humid,28,0,,0,29.487,41427,49737.17,7.00,2500.00,#N/A
10550,20-7-20 14:13:55,0.850,sensor_2 (PSt3),20-7-20 11:22:50,test2.2020-06-01,7.264,ppm (mg/L),15.295,°C,1023.000,hPa,Humid,28,0,,0,29.485,41428,49743.65,7.00,2500.00,#N/A
10554,20-7-20 14:13:58,0.901,sensor_2 (PSt3),20-7-20 11:22:50,test2.2020-06-01,7.261,ppm (mg/L),15.301,°C,1023.000,hPa,Humid,28,0,,0,29.488,41427,49742.50,7.00,2500.00,#N/A
10558,20-7-20 14:14:01,0.950,sensor_2 (PSt3),20-7-20 11:22:50,test2.2020-06-01,7.267,ppm (mg/L),15.283,°C,1023.000,hPa,Humid,28,0,,0,29.486,41426,49746.13,7.00,2500.00,#N/A
10562,20-7-20 14:14:04,1.000,sensor_2 (PSt3),20-7-20 11:22:50,test2.2020-06-01,7.267,ppm (mg/L),15.289,°C,1023.000,hPa,Humid,28,0,,0,29.484,41428,49739.36,7.00,2500.00,#N/A
10566,20-7-20 14:14:07,1.050,sensor_2 (PSt3),20-7-20 11:22:50,test2.2020-06-01,7.264,ppm (mg/L),15.277,°C,1023.000,hPa,Humid,28,0,,0,29.493,41426,49744.36,7.00,2500.00,#N/A
10570,20-7-20 14:14:10,1.100,sensor_2 (PSt3),20-7-20 11:22:50,test2.2020-06-01,7.261,ppm (mg/L),15.308,°C,1023.000,hPa,Humid,28,0,,0,29.485,41423,49740.66,7.00,2500.00,#N/A
10574,20-7-20 14:14:13,1.150,sensor_2 (PSt3),20-7-20 11:22:50,test2.2020-06-01,7.266,ppm (mg/L),15.277,°C,1023.000,hPa,Humid,28,0,,0,29.490,41422,49741.28,7.00,2500.00,#N/A
10578,20-7-20 14:14:16,1.200,sensor_2 (PSt3),20-7-20 11:22:50,test2.2020-06-01,7.278,ppm (mg/L),15.277,°C,1023.000,hPa,Humid,28,0,,0,29.472,41416,49741.66,7.00,2500.00,#N/A
10582,20-7-20 14:14:19,1.250,sensor_2 (PSt3),20-7-20 11:22:50,test2.2020-06-01,7.265,ppm (mg/L),15.289,°C,1023.000,hPa,Humid,28,0,,0,29.487,41416,49739.99,7.00,2500.00,#N/A
10586,20-7-20 14:14:22,1.300,sensor_2 (PSt3),20-7-20 11:22:50,test2.2020-06-01,7.270,ppm (mg/L),15.277,°C,1023.000,hPa,Humid,28,0,,0,29.484,41418,49737.34,7.00,2500.00,#N/A
10590,20-7-20 14:14:25,1.350,sensor_2 (PSt3),20-7-20 11:22:50,test2.2020-06-01,7.268,ppm (mg/L),15.283,°C,1023.000,hPa,Humid,28,0,,0,29.484,41415,49737.83,7.00,2500.00,#N/A
10594,20-7-20 14:14:28,1.400,sensor_2 (PSt3),20-7-20 11:22:50,test2.2020-06-01,7.269,ppm (mg/L),15.295,°C,1023.000,hPa,Humid,28,0,,0,29.478,41415,49738.35,7.00,2500.00,#N/A
10598,20-7-20 14:14:31,1.450,sensor_2 (PSt3),20-7-20 11:22:50,test2.2020-06-01,7.272,ppm (mg/L),15.271,°C,1023.000,hPa,Humid,28,0,,0,29.483,41415,49740.64,7.00,2500.00,#N/A
10602,20-7-20 14:14:34,1.500,sensor_2 (PSt3),20-7-20 11:22:50,test2.2020-06-01,7.270,ppm (mg/L),15.289,°C,1023.000,hPa,Humid,28,0,,0,29.478,41414,49747.17,7.00,2500.00,#N/A
10606,20-7-20 14:14:37,1.550,sensor_2 (PSt3),20-7-20 11:22:50,test2.2020-06-01,7.278,ppm (mg/L),15.264,°C,1023.000,hPa,Humid,28,0,,0,29.477,41416,49742.41,7.00,2500.00,#N/A
