Id,Date,Delta T [min],Sensor,Calibration,User,Oxygen,Oxygen Unit,Temperature,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],User Signal Intensity,Error,Error Code,Phase [°],Amplitude [µV],Reference Amplitude [µV],Signal LED Current,Reference LED Current,Battery [V]
18113,20-7-20 16:53:25,0.000,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.395,ppm (mg/L),15.943,°C,1022.000,hPa,Humid,28,0,,0,29.008,50865,48833.24,6.00,2500.00,#N/A
18117,20-7-20 16:53:28,0.050,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.393,ppm (mg/L),15.949,°C,1022.000,hPa,Humid,28,0,,0,29.008,50857,48827.79,6.00,2500.00,#N/A
18121,20-7-20 16:53:31,0.100,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.397,ppm (mg/L),15.949,°C,1022.000,hPa,Humid,28,0,,0,29.002,50850,48832.96,6.00,2500.00,#N/A
18125,20-7-20 16:53:34,0.150,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.395,ppm (mg/L),15.943,°C,1022.000,hPa,Humid,28,0,,0,29.007,50859,48829.55,6.00,2500.00,#N/A
18129,20-7-20 16:53:37,0.200,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.402,ppm (mg/L),15.931,°C,1022.000,hPa,Humid,28,0,,0,29.002,50850,48827.40,6.00,2500.00,#N/A
18133,20-7-20 16:53:40,0.250,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.406,ppm (mg/L),15.931,°C,1022.000,hPa,Humid,28,0,,0,28.996,50857,48832.86,6.00,2500.00,#N/A
18137,20-7-20 16:53:43,0.300,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.398,ppm (mg/L),15.955,°C,1022.000,hPa,Humid,28,0,,0,28.998,50853,48831.59,6.00,2500.00,#N/A
18141,20-7-20 16:53:46,0.350,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.416,ppm (mg/L),15.912,°C,1022.000,hPa,Humid,28,0,,0,28.988,50843,48828.11,6.00,2500.00,#N/A
18145,20-7-20 16:53:49,0.400,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.400,ppm (mg/L),15.949,°C,1022.000,hPa,Humid,28,0,,0,28.997,50850,48826.86,6.00,2500.00,#N/A
18149,20-7-20 16:53:52,0.450,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.405,ppm (mg/L),15.943,°C,1022.000,hPa,Humid,28,0,,0,28.992,50840,48830.86,6.00,2500.00,#N/A
18153,20-7-20 16:53:55,0.501,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.402,ppm (mg/L),15.955,°C,1022.000,hPa,Humid,28,0,,0,28.992,50851,48825.10,6.00,2500.00,#N/A
18157,20-7-20 16:53:58,0.551,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.401,ppm (mg/L),15.955,°C,1022.000,hPa,Humid,28,0,,0,28.994,50844,48833.68,6.00,2500.00,#N/A
18161,20-7-20 16:54:01,0.601,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.395,ppm (mg/L),15.962,°C,1022.000,hPa,Humid,28,0,,0,29.000,50849,48825.89,6.00,2500.00,#N/A
18165,20-7-20 16:54:04,0.651,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.397,ppm (mg/L),15.955,°C,1022.000,hPa,Humid,28,0,,0,28.999,50841,48833.02,6.00,2500.00,#N/A
18169,20-7-20 16:54:07,0.700,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.405,ppm (mg/L),15.962,°C,1022.000,hPa,Humid,28,0,,0,28.985,50845,48829.87,6.00,2500.00,#N/A
18173,20-7-20 16:54:10,0.750,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.393,ppm (mg/L),15.974,°C,1022.000,hPa,Humid,28,0,,0,28.998,50845,48827.76,6.00,2500.00,#N/A
18177,20-7-20 16:54:13,0.801,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.402,ppm (mg/L),15.949,°C,1022.000,hPa,Humid,28,0,,0,28.995,50846,48831.85,6.00,2500.00,#N/A
18181,20-7-20 16:54:16,0.850,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.405,ppm (mg/L),15.949,°C,1022.000,hPa,Humid,28,0,,0,28.990,50850,48834.86,6.00,2500.00,#N/A
18185,20-7-20 16:54:19,0.900,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.402,ppm (mg/L),15.968,°C,1022.000,hPa,Humid,28,0,,0,28.987,50845,48827.12,6.00,2500.00,#N/A
18189,20-7-20 16:54:22,0.950,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.403,ppm (mg/L),15.955,°C,1022.000,hPa,Humid,28,0,,0,28.990,50842,48833.39,6.00,2500.00,#N/A
18193,20-7-20 16:54:25,1.001,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.405,ppm (mg/L),15.943,°C,1022.000,hPa,Humid,28,0,,0,28.993,50842,48830.03,6.00,2500.00,#N/A
18197,20-7-20 16:54:28,1.050,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.404,ppm (mg/L),15.949,°C,1022.000,hPa,Humid,28,0,,0,28.992,50839,48829.80,6.00,2500.00,#N/A
18201,20-7-20 16:54:31,1.100,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.401,ppm (mg/L),15.968,°C,1022.000,hPa,Humid,28,0,,0,28.989,50844,48834.96,6.00,2500.00,#N/A
18205,20-7-20 16:54:34,1.150,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.407,ppm (mg/L),15.931,°C,1022.000,hPa,Humid,28,0,,0,28.995,50839,48830.33,6.00,2500.00,#N/A
18209,20-7-20 16:54:37,1.200,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.411,ppm (mg/L),15.949,°C,1022.000,hPa,Humid,28,0,,0,28.981,50844,48831.15,6.00,2500.00,#N/A
18213,20-7-20 16:54:40,1.251,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.408,ppm (mg/L),15.955,°C,1022.000,hPa,Humid,28,0,,0,28.983,50836,48827.20,6.00,2500.00,#N/A
18217,20-7-20 16:54:43,1.300,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.405,ppm (mg/L),15.955,°C,1022.000,hPa,Humid,28,0,,0,28.988,50834,48829.39,6.00,2500.00,#N/A
18221,20-7-20 16:54:46,1.350,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.402,ppm (mg/L),15.962,°C,1022.000,hPa,Humid,28,0,,0,28.990,50841,48834.01,6.00,2500.00,#N/A
