Id,Date,Delta T [min],Sensor,Calibration,User,Oxygen,Oxygen Unit,Temperature,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],User Signal Intensity,Error,Error Code,Phase [°],Amplitude [µV],Reference Amplitude [µV],Signal LED Current,Reference LED Current,Battery [V]
18115,20-7-20 16:53:25,0.000,sensor_2 (PSt3),20-7-20 11:22:50,test2.2020-06-01,7.658,ppm (mg/L),15.943,°C,1022.000,hPa,Humid,28,0,,0,28.626,40033,49816.78,7.00,2500.00,#N/A
18119,20-7-20 16:53:28,0.050,sensor_2 (PSt3),20-7-20 11:22:50,test2.2020-06-01,7.655,ppm (mg/L),15.949,°C,1022.000,hPa,Humid,28,0,,0,28.627,40032,49820.52,7.00,2500.00,#N/A
18123,20-7-20 16:53:31,0.100,sensor_2 (PSt3),20-7-20 11:22:50,test2.2020-06-01,7.661,ppm (mg/L),15.949,°C,1022.000,hPa,Humid,28,0,,0,28.619,40033,49820.36,7.00,2500.00,#N/A
18127,20-7-20 16:53:34,0.150,sensor_2 (PSt3),20-7-20 11:22:50,test2.2020-06-01,7.657,ppm (mg/L),15.943,°C,1022.000,hPa,Humid,28,0,,0,28.627,40035,49817.35,7.00,2500.00,#N/A
18131,20-7-20 16:53:37,0.200,sensor_2 (PSt3),20-7-20 11:22:50,test2.2020-06-01,7.659,ppm (mg/L),15.931,°C,1022.000,hPa,Humid,28,0,,0,28.629,40039,49818.21,7.00,2500.00,#N/A
18135,20-7-20 16:53:40,0.250,sensor_2 (PSt3),20-7-20 11:22:50,test2.2020-06-01,7.665,ppm (mg/L),15.931,°C,1022.000,hPa,Humid,28,0,,0,28.620,40037,49814.25,7.00,2500.00,#N/A
18139,20-7-20 16:53:43,0.300,sensor_2 (PSt3),20-7-20 11:22:50,test2.2020-06-01,7.650,ppm (mg/L),15.955,°C,1022.000,hPa,Humid,28,0,,0,28.632,40033,49815.85,7.00,2500.00,#N/A
18143,20-7-20 16:53:46,0.350,sensor_2 (PSt3),20-7-20 11:22:50,test2.2020-06-01,7.668,ppm (mg/L),15.912,°C,1022.000,hPa,Humid,28,0,,0,28.623,40036,49817.24,7.00,2500.00,#N/A
18147,20-7-20 16:53:49,0.400,sensor_2 (PSt3),20-7-20 11:22:50,test2.2020-06-01,7.653,ppm (mg/L),15.949,°C,1022.000,hPa,Humid,28,0,,0,28.631,40035,49816.12,7.00,2500.00,#N/A
18151,20-7-20 16:53:52,0.450,sensor_2 (PSt3),20-7-20 11:22:50,test2.2020-06-01,7.655,ppm (mg/L),15.943,°C,1022.000,hPa,Humid,28,0,,0,28.630,40038,49820.63,7.00,2500.00,#N/A
18155,20-7-20 16:53:55,0.501,sensor_2 (PSt3),20-7-20 11:22:50,test2.2020-06-01,7.652,ppm (mg/L),15.955,°C,1022.000,hPa,Humid,28,0,,0,28.630,40039,49815.75,7.00,2500.00,#N/A
18159,20-7-20 16:53:58,0.551,sensor_2 (PSt3),20-7-20 11:22:50,test2.2020-06-01,7.655,ppm (mg/L),15.955,°C,1022.000,hPa,Humid,28,0,,0,28.625,40045,49818.45,7.00,2500.00,#N/A
18163,20-7-20 16:54:01,0.601,sensor_2 (PSt3),20-7-20 11:22:50,test2.2020-06-01,7.649,ppm (mg/L),15.962,°C,1022.000,hPa,Humid,28,0,,0,28.631,40043,49819.03,7.00,2500.00,#N/A
18167,20-7-20 16:54:04,0.651,sensor_2 (PSt3),20-7-20 11:22:50,test2.2020-06-01,7.646,ppm (mg/L),15.955,°C,1022.000,hPa,Humid,28,0,,0,28.638,40044,49814.85,7.00,2500.00,#N/A
18171,20-7-20 16:54:07,0.700,sensor_2 (PSt3),20-7-20 11:22:50,test2.2020-06-01,7.647,ppm (mg/L),15.962,°C,1022.000,hPa,Humid,28,0,,0,28.634,40035,49817.47,7.00,2500.00,#N/A
18175,20-7-20 16:54:10,0.750,sensor_2 (PSt3),20-7-20 11:22:50,test2.2020-06-01,7.644,ppm (mg/L),15.974,°C,1022.000,hPa,Humid,28,0,,0,28.634,40045,49816.74,7.00,2500.00,#N/A
18179,20-7-20 16:54:13,0.801,sensor_2 (PSt3),20-7-20 11:22:50,test2.2020-06-01,7.659,ppm (mg/L),15.949,°C,1022.000,hPa,Humid,28,0,,0,28.622,40040,49819.95,7.00,2500.00,#N/A
18183,20-7-20 16:54:16,0.850,sensor_2 (PSt3),20-7-20 11:22:50,test2.2020-06-01,7.661,ppm (mg/L),15.949,°C,1022.000,hPa,Humid,28,0,,0,28.619,40041,49817.29,7.00,2500.00,#N/A
18187,20-7-20 16:54:19,0.900,sensor_2 (PSt3),20-7-20 11:22:50,test2.2020-06-01,7.649,ppm (mg/L),15.968,°C,1022.000,hPa,Humid,28,0,,0,28.629,40035,49812.50,7.00,2500.00,#N/A
18191,20-7-20 16:54:22,0.950,sensor_2 (PSt3),20-7-20 11:22:50,test2.2020-06-01,7.653,ppm (mg/L),15.955,°C,1022.000,hPa,Humid,28,0,,0,28.628,40040,49817.54,7.00,2500.00,#N/A
18195,20-7-20 16:54:25,1.001,sensor_2 (PSt3),20-7-20 11:22:50,test2.2020-06-01,7.658,ppm (mg/L),15.943,°C,1022.000,hPa,Humid,28,0,,0,28.625,40043,49820.36,7.00,2500.00,#N/A
18199,20-7-20 16:54:28,1.050,sensor_2 (PSt3),20-7-20 11:22:50,test2.2020-06-01,7.649,ppm (mg/L),15.949,°C,1022.000,hPa,Humid,28,0,,0,28.636,40035,49817.48,7.00,2500.00,#N/A
18203,20-7-20 16:54:31,1.100,sensor_2 (PSt3),20-7-20 11:22:50,test2.2020-06-01,7.650,ppm (mg/L),15.968,°C,1022.000,hPa,Humid,28,0,,0,28.628,40037,49815.47,7.00,2500.00,#N/A
18207,20-7-20 16:54:34,1.150,sensor_2 (PSt3),20-7-20 11:22:50,test2.2020-06-01,7.660,ppm (mg/L),15.931,°C,1022.000,hPa,Humid,28,0,,0,28.628,40036,49820.82,7.00,2500.00,#N/A
18211,20-7-20 16:54:37,1.200,sensor_2 (PSt3),20-7-20 11:22:50,test2.2020-06-01,7.660,ppm (mg/L),15.949,°C,1022.000,hPa,Humid,28,0,,0,28.621,40033,49814.89,7.00,2500.00,#N/A
18215,20-7-20 16:54:40,1.251,sensor_2 (PSt3),20-7-20 11:22:50,test2.2020-06-01,7.650,ppm (mg/L),15.955,°C,1022.000,hPa,Humid,28,0,,0,28.632,40035,49816.25,7.00,2500.00,#N/A
18219,20-7-20 16:54:43,1.300,sensor_2 (PSt3),20-7-20 11:22:50,test2.2020-06-01,7.657,ppm (mg/L),15.955,°C,1022.000,hPa,Humid,28,0,,0,28.622,40036,49824.36,7.00,2500.00,#N/A
18223,20-7-20 16:54:46,1.350,sensor_2 (PSt3),20-7-20 11:22:50,test2.2020-06-01,7.651,ppm (mg/L),15.962,°C,1022.000,hPa,Humid,28,0,,0,28.628,40031,49816.07,7.00,2500.00,#N/A
18227,20-7-20 16:54:49,1.400,sensor_2 (PSt3),20-7-20 11:22:50,test2.2020-06-01,7.654,ppm (mg/L),15.955,°C,1022.000,hPa,Humid,28,0,,0,28.627,40032,49818.97,7.00,2500.00,#N/A
18231,20-7-20 16:54:52,1.451,sensor_2 (PSt3),20-7-20 11:22:50,test2.2020-06-01,7.663,ppm (mg/L),15.943,°C,1022.000,hPa,Humid,28,0,,0,28.618,40036,49819.25,7.00,2500.00,#N/A
18235,20-7-20 16:54:55,1.500,sensor_2 (PSt3),20-7-20 11:22:50,test2.2020-06-01,7.660,ppm (mg/L),15.949,°C,1022.000,hPa,Humid,28,0,,0,28.621,40035,49819.47,7.00,2500.00,#N/A
18239,20-7-20 16:54:58,1.550,sensor_2 (PSt3),20-7-20 11:22:50,test2.2020-06-01,7.647,ppm (mg/L),15.962,°C,1022.000,hPa,Humid,28,0,,0,28.634,40031,49811.45,7.00,2500.00,#N/A
18243,20-7-20 16:55:01,1.600,sensor_2 (PSt3),20-7-20 11:22:50,test2.2020-06-01,7.656,ppm (mg/L),15.937,°C,1022.000,hPa,Humid,28,0,,0,28.631,40033,49820.65,7.00,2500.00,#N/A
18247,20-7-20 16:55:04,1.650,sensor_2 (PSt3),20-7-20 11:22:50,test2.2020-06-01,7.657,ppm (mg/L),15.949,°C,1022.000,hPa,Humid,28,0,,0,28.625,40033,49815.75,7.00,2500.00,#N/A
18251,20-7-20 16:55:07,1.701,sensor_2 (PSt3),20-7-20 11:22:50,test2.2020-06-01,7.652,ppm (mg/L),15.968,°C,1022.000,hPa,Humid,28,0,,0,28.625,40028,49816.35,7.00,2500.00,#N/A
18255,20-7-20 16:55:10,1.750,sensor_2 (PSt3),20-7-20 11:22:50,test2.2020-06-01,7.657,ppm (mg/L),15.949,°C,1022.000,hPa,Humid,28,0,,0,28.624,40030,49810.88,7.00,2500.00,#N/A
18259,20-7-20 16:55:13,1.800,sensor_2 (PSt3),20-7-20 11:22:50,test2.2020-06-01,7.647,ppm (mg/L),15.968,°C,1022.000,hPa,Humid,28,0,,0,28.631,40031,49819.51,7.00,2500.00,#N/A
