"","intercept_b0","rate_spl","rsq","row","endrow","time","endtime","oxy","endoxy","rowlength","timelength","rate_twopoint","sampleID","treatment","lab_date","project","site","trialID","species","sample_type.x","trial_start","trial_end","start_light","elapsed_dark","acc_hrs","temp_ysi_start","salinity_ysi_start","pH_ysi_start","chamber","volume_chamber","lid","channel","cable","PAR","pH_ysi_final","volume_initial_mL","volume_final_mL","volume_kelp","wet_weight_g","dry_weight+packet_weight_g","packet_weight_g","dry_weight_g","blade_length_cm","Master channel","Note","photo (blade _area)","link with in situ or harvest morphometrics","spc","rate_bg","sample_type.y","rate_adj","rate_convrt","rate_convrt_units"
"1",5.34971874682895,0.037475272261371,0.998,199,422,52.233,63.383,7.312,7.728,223,11.15,0.0373094170403587,"S01_M3_002","light",2020-07-20,"kelp","Tickster","K1","macro","sample",11:30:00,12:30:00,12:00:00,60,NA,14.8,27.28,8.35,"D",4988,"BL",4,4,82,8.49,152,164,12,53.6,6.32,1.4874,4.8326,64,1,NA,NA,NA,42420,-0.000126837555042882,"background",0.0376021098164139,0.209449363932622,"mg/h/g"
"2",7.09641687804737,-0.0070075877787715,0.973,4,278,7.583,21.283,7.044,6.957,274,13.7,-0.00635036496350363,"S01_M3_002","dark",2020-07-20,"kelp","Tickster","K1","macro","sample",11:30:00,12:30:00,12:00:00,60,NA,14.8,27.28,8.35,"D",4988,"BL",4,4,82,8.49,152,164,12,53.6,6.32,1.4874,4.8326,64,1,NA,NA,NA,42420,-0.000326470613222926,"background",-0.00668111716554857,-0.037214819793772,"mg/h/g"
"3",5.98613234259919,0.0259352408105081,0.995,11,193,42.833,51.933,7.099,7.332,182,9.1,0.0256043956043956,"S01_N1_7029","light",2020-07-20,"kelp","Triquetta","K1","nereo","sample",11:30:00,12:30:00,12:00:00,60,NA,14.8,27.28,8.35,"A",4979,"B/W",1,1,86,8.36,128,145,17,31.5,3.56,1.4031,2.1569,113,1,NA,NA,NA,42420,-0.000126837555042882,"background",0.0260620783655509,0.246323872094979,"mg/h/g"
"4",7.10694281240049,-0.00312749704910415,0.942,8,396,7.783,27.183,7.083,7.024,388,19.4,-0.00304123711340207,"S01_N1_7029","dark",2020-07-20,"kelp","Triquetta","K1","nereo","sample",11:30:00,12:30:00,12:00:00,60,NA,14.8,27.28,8.35,"A",4979,"B/W",1,1,86,8.36,128,145,17,31.5,3.56,1.4031,2.1569,113,1,NA,NA,NA,42420,-0.000326470613222926,"background",-0.00280102643588122,-0.0264737012854145,"mg/h/g"
"5",5.79245832844669,0.0287778002331909,0.998,196,444,52.083,64.483,7.292,7.654,248,12.4,0.0291935483870968,"S01_N2_1027","light",2020-07-20,"kelp","Triquetta","K1","nereo","sample",11:30:00,12:30:00,12:00:00,60,NA,14.8,27.28,8.35,"C",4970,"R",3,3,105,8.4,209,242,33,36.1,4.03,1.4127,2.6173,180,1,NA,NA,NA,42420,-0.000126837555042882,"background",0.0289046377882338,0.237178166360959,"mg/h/g"
"6",7.11723724590991,-0.00446266509542239,0.965,64,424,10.583,28.583,7.06,6.996,360,18,-0.00355555555555551,"S01_N2_1027","dark",2020-07-20,"kelp","Triquetta","K1","nereo","sample",11:30:00,12:30:00,12:00:00,60,NA,14.8,27.28,8.35,"C",4970,"R",3,3,105,8.4,209,242,33,36.1,4.03,1.4127,2.6173,180,1,NA,NA,NA,42420,-0.000326470613222926,"background",-0.00413619448219947,-0.0339397099589231,"mg/h/g"
"7",4.57670432997278,0.0646232956057877,0.999,37,313,45.866,59.666,7.539,8.425,276,13.8,0.0642028985507247,"S02_M5_1008","light",2020-07-20,"kelp","Tickster","K2","macro","sample",12:51:00,13:55:00,13:25:00,64,NA,14.9,27.38,8.64,"B",4958,"Y",2,2,100,8.84,659,740,81,77.2,9.9,1.4915,8.4085,96,1,NA,NA,NA,42581,-4.60876655343691e-05,"background",0.064669383271322,0.245123768560288,"mg/h/g"
"8",7.503725156103,-0.0086246508576162,0.981,131,421,11.517,26.017,7.397,7.284,290,14.5,-0.00779310344827589,"S02_M5_1008","dark",2020-07-20,"kelp","Tickster","K2","macro","sample",12:51:00,13:55:00,13:25:00,64,NA,14.9,27.38,8.64,"B",4958,"Y",2,2,100,8.84,659,740,81,77.2,9.9,1.4915,8.4085,96,1,NA,NA,NA,42581,0.000200669188613049,"background",-0.00882532004622925,-0.0334516211389586,"mg/h/g"
"9",6.29794921016826,0.0279934455176311,0.998,37,311,45.866,59.567,7.575,7.955,274,13.701,0.0277352018100868,"S02_M6_8003","light",2020-07-20,"kelp","Tickster","K2","macro","sample",12:51:00,13:55:00,13:25:00,64,NA,14.9,27.38,8.64,"C",4970,"R",3,3,104,8.81,196,212,16,19.4,3.25,1.5501,1.6999,31,1,NA,NA,NA,42581,-4.60876655343691e-05,"background",0.0280395331831654,0.429611899142479,"mg/h/g"
"10",7.4549374824129,-0.00157311487661676,0.339,148,293,12.367,19.616,7.435,7.421,145,7.249,-0.0019313008690853,"S02_M6_8003","dark",2020-07-20,"kelp","Tickster","K2","macro","sample",12:51:00,13:55:00,13:25:00,64,NA,14.9,27.38,8.64,"C",4970,"R",3,3,104,8.81,196,212,16,19.4,3.25,1.5501,1.6999,31,1,NA,NA,NA,42581,0.000200669188613049,"background",-0.00177378406522981,-0.0271772977087066,"mg/h/g"
"11",6.70580948488864,0.0148674540384654,0.994,24,324,45.217,60.217,7.375,7.597,300,15,0.0148,"S02_N4_523","light",2020-07-20,"kelp","Triquetta","K2","nereo","sample",12:51:00,13:55:00,13:25:00,64,NA,14.9,27.38,8.64,"A",4979,"B/W",1,1,83,8.68,199,201,2,14.1,2.29,1.4636,0.8264,74,1,NA,NA,NA,42581,-4.60876655343691e-05,"background",0.0149135417039998,0.315849774726837,"mg/h/g"
"12",7.34825994358415,-0.00145027024401534,0.398,111,309,10.517,20.417,7.344,7.321,198,9.9,-0.00232323232323238,"S02_N4_523","dark",2020-07-20,"kelp","Triquetta","K2","nereo","sample",12:51:00,13:55:00,13:25:00,64,NA,14.9,27.38,8.64,"A",4979,"B/W",1,1,83,8.68,199,201,2,14.1,2.29,1.4636,0.8264,74,1,NA,NA,NA,42581,0.000200669188613049,"background",-0.00165093943262839,-0.0349647896008149,"mg/h/g"
"13",6.26965880168493,0.0243783727891659,0.998,49,365,41.05,56.85,7.267,7.654,316,15.8,0.0244936708860759,"S03_N7_925","light",2020-07-20,"kelp","Triquetta","K3","nereo","sample",14:14:00,15:16:00,14:44:00,62,NA,15,27.57,8.63,"A",4979,"B/W",1,1,68,9.05,190,227,37,40.7,4.02,1.2857,2.7343,168,1,NA,NA,NA,42824,0.000868298774093714,"background",0.0235100740150722,0.171282730883273,"mg/h/g"
"14",7.26013149031339,-0.00420060298249779,0.824,77,228,8.85,16.4,7.219,7.191,151,7.55,-0.00370860927152324,"S03_N7_925","dark",2020-07-20,"kelp","Triquetta","K3","nereo","sample",14:14:00,15:16:00,14:44:00,62,NA,15,27.57,8.63,"A",4979,"B/W",1,1,68,9.05,190,227,37,40.7,4.02,1.2857,2.7343,168,1,NA,NA,NA,42824,-2.27956020292347e-05,"background",-0.00417780738046855,-0.0304374310677282,"mg/h/g"
"15",7.24284953417348,-0.00360267505483509,0.861,129,367,45.05,56.95,7.084,7.045,238,11.9,-0.00327731092436972,"S03_N8_8032","light",2020-07-20,"kelp","Triquetta","K3","nereo","sample",14:14:00,15:16:00,14:44:00,62,NA,15,27.57,8.63,"B",4958,"Y",2,2,86,9.05,193,216,23,24.6,2.76,0.829,1.931,104,1,NA,NA,NA,42824,0.000868298774093714,"background",-0.00447097382892881,-0.0538152581603992,"mg/h/g"
"16",7.3292246948273,-0.00543233057454942,0.834,314,449,20.7,27.45,7.221,7.18,135,6.75,-0.00607407407407413,"S03_N8_8032","dark",2020-07-20,"kelp","Triquetta","K3","nereo","sample",14:14:00,15:16:00,14:44:00,62,NA,15,27.57,8.63,"B",4958,"Y",2,2,86,9.05,193,216,23,24.6,2.76,0.829,1.931,104,1,NA,NA,NA,42824,-2.27956020292347e-05,"background",-0.00540953497252018,-0.06511232948631,"mg/h/g"
"17",6.28342444642015,0.0192427253528687,0.995,85,335,42.85,55.35,7.106,7.354,250,12.5,0.01984,"S03_N9_8039","light",2020-07-20,"kelp","Triquetta","K3","nereo","sample",14:14:00,15:16:00,14:44:00,62,NA,15,27.57,8.63,"D",4988,"BL",4,4,75,9.05,170,229,59,52.4,4.83,1.406,3.424,220,1,NA,NA,NA,42824,0.000868298774093714,"background",0.018374426578775,0.10370329993143,"mg/h/g"
"18",7.30018654334746,-0.00902218452381099,0.985,60,326,8,21.3,7.225,7.109,266,13.3,-0.00872180451127817,"S03_N9_8039","dark",2020-07-20,"kelp","Triquetta","K3","nereo","sample",14:14:00,15:16:00,14:44:00,62,NA,15,27.57,8.63,"D",4988,"BL",4,4,75,9.05,170,229,59,52.4,4.83,1.406,3.424,220,1,NA,NA,NA,42824,-2.27956020292347e-05,"background",-0.00899938892178175,-0.0507915893077812,"mg/h/g"
"19",5.97119149473044,0.0396343418571719,0.999,177,500,48.451,64.601,7.904,8.516,323,16.15,0.0378947368421053,"S04_M10_009","light",2020-07-20,"kelp","Tickster","K4","macro","sample",16:53:00,17:58:00,17:33:00,65,NA,15.7,27.7,8.47,"B",4958,"Y",2,2,66,8.55,610,638,28,27,4.21,1.567,2.643,NA,1,NA,NA,NA,43099,0.00261591835527246,"background",0.0370184235018995,0.405557395254143,"mg/h/g"
"20",7.74363777154169,-0.00263185850515671,0.689,193,398,14.65,24.9,7.704,7.675,205,10.25,-0.00282926829268292,"S04_M10_009","dark",2020-07-20,"kelp","Tickster","K4","macro","sample",16:53:00,17:58:00,17:33:00,65,NA,15.7,27.7,8.47,"B",4958,"Y",2,2,66,8.55,610,638,28,27,4.21,1.567,2.643,NA,1,NA,NA,NA,43099,-0.000153743884310257,"background",-0.00247811462084645,-0.0271491224017178,"mg/h/g"
"21",4.980797383804,0.0481316428171946,0.998,181,360,48.65,57.6,7.323,7.759,179,8.95,0.0487150837988827,"S04_M11_3009","light",2020-07-20,"kelp","Tickster","K4","macro","sample",16:53:00,17:58:00,17:33:00,65,NA,15.7,27.7,8.47,"C",4970,"R",3,3,92,8.58,630,700,70,71.8,9.52,1.4358,8.0842,96,1,NA,NA,NA,43099,0.00261591835527246,"background",0.0455157244619222,0.186373579273052,"mg/h/g"
"22",7.772019388858,-0.0172330549675617,0.995,185,473,14.251,28.65,7.521,7.284,288,14.399,-0.0164594763525245,"S04_M11_3009","dark",2020-07-20,"kelp","Tickster","K4","macro","sample",16:53:00,17:58:00,17:33:00,65,NA,15.7,27.7,8.47,"C",4970,"R",3,3,92,8.58,630,700,70,71.8,9.52,1.4358,8.0842,96,1,NA,NA,NA,43099,-0.000153743884310257,"background",-0.0170793110832515,-0.0699347835442331,"mg/h/g"
