Id,Date,Delta T [min],Sensor,Calibration,User,Oxygen,Oxygen Unit,Temperature,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],User Signal Intensity,Error,Error Code,Phase [°],Amplitude [µV],Reference Amplitude [µV],Signal LED Current,Reference LED Current,Battery [V]
23285,22-7-20 13:10:13,0.000,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.306,ppm (mg/L),16.412,°C,1015.000,hPa,Humid,25,0,,0,29.141,53630,49056.88,6.00,2500.00,#N/A
23289,22-7-20 13:10:16,0.051,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.319,ppm (mg/L),16.369,°C,1015.000,hPa,Humid,25,0,,0,29.139,53627,49060.59,6.00,2500.00,#N/A
23293,22-7-20 13:10:19,0.100,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.315,ppm (mg/L),16.387,°C,1015.000,hPa,Humid,25,0,,0,29.138,53625,49051.11,6.00,2500.00,#N/A
23297,22-7-20 13:10:22,0.150,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.320,ppm (mg/L),16.375,°C,1015.000,hPa,Humid,25,0,,0,29.135,53619,49052.30,6.00,2500.00,#N/A
23301,22-7-20 13:10:25,0.200,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.316,ppm (mg/L),16.381,°C,1015.000,hPa,Humid,25,0,,0,29.139,53612,49047.41,6.00,2500.00,#N/A
23305,22-7-20 13:10:28,0.251,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.318,ppm (mg/L),16.394,°C,1015.000,hPa,Humid,25,0,,0,29.131,53614,49044.11,6.00,2500.00,#N/A
23309,22-7-20 13:10:31,0.300,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.324,ppm (mg/L),16.375,°C,1015.000,hPa,Humid,25,0,,0,29.129,53609,49049.84,6.00,2500.00,#N/A
23313,22-7-20 13:10:34,0.350,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.320,ppm (mg/L),16.381,°C,1015.000,hPa,Humid,25,0,,0,29.133,53614,49046.62,6.00,2500.00,#N/A
23317,22-7-20 13:10:37,0.400,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.319,ppm (mg/L),16.387,°C,1015.000,hPa,Humid,25,0,,0,29.132,53607,49046.57,6.00,2500.00,#N/A
23321,22-7-20 13:10:40,0.450,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.326,ppm (mg/L),16.375,°C,1015.000,hPa,Humid,25,0,,0,29.127,53606,49045.39,6.00,2500.00,#N/A
23325,22-7-20 13:10:43,0.500,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.326,ppm (mg/L),16.375,°C,1015.000,hPa,Humid,25,0,,0,29.127,53604,49044.94,6.00,2500.00,#N/A
23329,22-7-20 13:10:46,0.550,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.316,ppm (mg/L),16.394,°C,1015.000,hPa,Humid,25,0,,0,29.134,53614,49041.28,6.00,2500.00,#N/A
23333,22-7-20 13:10:49,0.600,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.320,ppm (mg/L),16.387,°C,1015.000,hPa,Humid,25,0,,0,29.131,53613,49045.50,6.00,2500.00,#N/A
23337,22-7-20 13:10:52,0.650,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.321,ppm (mg/L),16.375,°C,1015.000,hPa,Humid,25,0,,0,29.134,53610,49044.72,6.00,2500.00,#N/A
23341,22-7-20 13:10:55,0.700,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.316,ppm (mg/L),16.400,°C,1015.000,hPa,Humid,25,0,,0,29.132,53610,49044.68,6.00,2500.00,#N/A
23345,22-7-20 13:10:58,0.750,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.325,ppm (mg/L),16.381,°C,1015.000,hPa,Humid,25,0,,0,29.126,53609,49042.91,6.00,2500.00,#N/A
23349,22-7-20 13:11:01,0.800,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.321,ppm (mg/L),16.387,°C,1015.000,hPa,Humid,25,0,,0,29.129,53605,49046.29,6.00,2500.00,#N/A
23353,22-7-20 13:11:04,0.850,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.320,ppm (mg/L),16.400,°C,1015.000,hPa,Humid,25,0,,0,29.126,53608,49040.35,6.00,2500.00,#N/A
23357,22-7-20 13:11:07,0.900,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.324,ppm (mg/L),16.381,°C,1015.000,hPa,Humid,25,0,,0,29.127,53610,49047.17,6.00,2500.00,#N/A
23361,22-7-20 13:11:10,0.950,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.321,ppm (mg/L),16.369,°C,1015.000,hPa,Humid,25,0,,0,29.137,53600,49043.18,6.00,2500.00,#N/A
23365,22-7-20 13:11:13,1.001,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.315,ppm (mg/L),16.394,°C,1015.000,hPa,Humid,25,0,,0,29.136,53607,49037.25,6.00,2500.00,#N/A
23369,22-7-20 13:11:16,1.050,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.309,ppm (mg/L),16.394,°C,1015.000,hPa,Humid,25,0,,0,29.145,53608,49042.32,6.00,2500.00,#N/A
23373,22-7-20 13:11:19,1.100,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.323,ppm (mg/L),16.406,°C,1015.000,hPa,Humid,25,0,,0,29.119,53606,49040.75,6.00,2500.00,#N/A
23377,22-7-20 13:11:22,1.150,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.315,ppm (mg/L),16.412,°C,1015.000,hPa,Humid,25,0,,0,29.128,53606,49042.99,6.00,2500.00,#N/A
23381,22-7-20 13:11:25,1.200,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.318,ppm (mg/L),16.394,°C,1015.000,hPa,Humid,25,0,,0,29.131,53604,49038.21,6.00,2500.00,#N/A
23385,22-7-20 13:11:28,1.250,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.323,ppm (mg/L),16.387,°C,1015.000,hPa,Humid,25,0,,0,29.126,53601,49041.50,6.00,2500.00,#N/A
23389,22-7-20 13:11:31,1.300,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.310,ppm (mg/L),16.412,°C,1015.000,hPa,Humid,25,0,,0,29.136,53602,49042.53,6.00,2500.00,#N/A
23393,22-7-20 13:11:34,1.350,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.318,ppm (mg/L),16.400,°C,1015.000,hPa,Humid,25,0,,0,29.128,53592,49039.69,6.00,2500.00,#N/A
23397,22-7-20 13:11:37,1.400,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.314,ppm (mg/L),16.400,°C,1015.000,hPa,Humid,25,0,,0,29.135,53605,49036.30,6.00,2500.00,#N/A
23401,22-7-20 13:11:40,1.450,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.322,ppm (mg/L),16.387,°C,1015.000,hPa,Humid,25,0,,0,29.128,53600,49031.11,6.00,2500.00,#N/A
23405,22-7-20 13:11:43,1.500,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.315,ppm (mg/L),16.406,°C,1015.000,hPa,Humid,25,0,,0,29.130,53601,49035.74,6.00,2500.00,#N/A
23409,22-7-20 13:11:46,1.551,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.316,ppm (mg/L),16.387,°C,1015.000,hPa,Humid,25,0,,0,29.136,53598,49035.07,6.00,2500.00,#N/A
23413,22-7-20 13:11:49,1.600,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.325,ppm (mg/L),16.381,°C,1015.000,hPa,Humid,25,0,,0,29.126,53602,49035.10,6.00,2500.00,#N/A
23417,22-7-20 13:11:52,1.650,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.320,ppm (mg/L),16.375,°C,1015.000,hPa,Humid,25,0,,0,29.135,53598,49035.34,6.00,2500.00,#N/A
23421,22-7-20 13:11:55,1.700,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.316,ppm (mg/L),16.400,°C,1015.000,hPa,Humid,25,0,,0,29.131,53604,49036.52,6.00,2500.00,#N/A
23425,22-7-20 13:11:58,1.751,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.321,ppm (mg/L),16.400,°C,1015.000,hPa,Humid,25,0,,0,29.124,53603,49033.16,6.00,2500.00,#N/A
23429,22-7-20 13:12:01,1.800,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.322,ppm (mg/L),16.394,°C,1015.000,hPa,Humid,25,0,,0,29.125,53597,49037.75,6.00,2500.00,#N/A
23433,22-7-20 13:12:04,1.850,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.316,ppm (mg/L),16.400,°C,1015.000,hPa,Humid,25,0,,0,29.132,53597,49035.46,6.00,2500.00,#N/A
23437,22-7-20 13:12:07,1.900,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.322,ppm (mg/L),16.387,°C,1015.000,hPa,Humid,25,0,,0,29.127,53603,49033.47,6.00,2500.00,#N/A
23441,22-7-20 13:12:10,1.951,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.322,ppm (mg/L),16.381,°C,1015.000,hPa,Humid,25,0,,0,29.130,53600,49034.99,6.00,2500.00,#N/A
23445,22-7-20 13:12:13,2.000,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.325,ppm (mg/L),16.375,°C,1015.000,hPa,Humid,25,0,,0,29.128,53598,49037.22,6.00,2500.00,#N/A
23449,22-7-20 13:12:16,2.050,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.320,ppm (mg/L),16.375,°C,1015.000,hPa,Humid,25,0,,0,29.135,53605,49034.50,6.00,2500.00,#N/A
23453,22-7-20 13:12:19,2.100,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.321,ppm (mg/L),16.369,°C,1015.000,hPa,Humid,25,0,,0,29.136,53607,49033.92,6.00,2500.00,#N/A
23457,22-7-20 13:12:22,2.151,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.317,ppm (mg/L),16.394,°C,1015.000,hPa,Humid,25,0,,0,29.132,53603,49034.53,6.00,2500.00,#N/A
23461,22-7-20 13:12:25,2.200,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.317,ppm (mg/L),16.406,°C,1015.000,hPa,Humid,25,0,,0,29.128,53604,49033.04,6.00,2500.00,#N/A
23465,22-7-20 13:12:28,2.250,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.321,ppm (mg/L),16.381,°C,1015.000,hPa,Humid,25,0,,0,29.131,53602,49030.74,6.00,2500.00,#N/A
23469,22-7-20 13:12:31,2.300,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.319,ppm (mg/L),16.387,°C,1015.000,hPa,Humid,25,0,,0,29.132,53604,49033.73,6.00,2500.00,#N/A
23473,22-7-20 13:12:34,2.351,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.321,ppm (mg/L),16.381,°C,1015.000,hPa,Humid,25,0,,0,29.132,53597,49033.16,6.00,2500.00,#N/A
23477,22-7-20 13:12:37,2.400,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.317,ppm (mg/L),16.400,°C,1015.000,hPa,Humid,25,0,,0,29.130,53595,49037.58,6.00,2500.00,#N/A
23481,22-7-20 13:12:40,2.450,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.316,ppm (mg/L),16.387,°C,1015.000,hPa,Humid,25,0,,0,29.136,53586,49033.43,6.00,2500.00,#N/A
23485,22-7-20 13:12:43,2.500,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.320,ppm (mg/L),16.375,°C,1015.000,hPa,Humid,25,0,,0,29.135,53567,49030.85,6.00,2500.00,#N/A
23489,22-7-20 13:12:46,2.551,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.318,ppm (mg/L),16.394,°C,1015.000,hPa,Humid,25,0,,0,29.131,53561,49030.16,6.00,2500.00,#N/A
23493,22-7-20 13:12:49,2.600,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.321,ppm (mg/L),16.387,°C,1015.000,hPa,Humid,25,0,,0,29.129,53564,49029.31,6.00,2500.00,#N/A
23497,22-7-20 13:12:52,2.650,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.315,ppm (mg/L),16.394,°C,1015.000,hPa,Humid,25,0,,0,29.135,53561,49028.62,6.00,2500.00,#N/A
23501,22-7-20 13:12:55,2.700,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.324,ppm (mg/L),16.387,°C,1015.000,hPa,Humid,25,0,,0,29.125,53558,49027.39,6.00,2500.00,#N/A
23505,22-7-20 13:12:58,2.750,sensor_1 (PSt3),20-7-20 11:22:41,test1.2020-06-01,7.315,ppm (mg/L),16.400,°C,1015.000,hPa,Humid,25,0,,0,29.133,53565,49029.78,6.00,2500.00,#N/A
