Id,Date,Delta T [min],Sensor,Calibration,User,Oxygen,Oxygen Unit,Temperature,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],User Signal Intensity,Error,Error Code,Phase [°],Amplitude [µV],Reference Amplitude [µV],Signal LED Current,Reference LED Current,Battery [V]
28567,22-7-20 14:32:17,0.000,sensor_3 (PSt3),20-7-20 11:22:57,test2.2020-06-01,7.294,ppm (mg/L),16.634,°C,1015.000,hPa,Humid,25,0,,0,29.072,49760,49337.74,7.00,2500.00,#N/A
28571,22-7-20 14:32:20,0.050,sensor_3 (PSt3),20-7-20 11:22:57,test2.2020-06-01,7.306,ppm (mg/L),16.622,°C,1015.000,hPa,Humid,25,0,,0,29.058,49760,49333.01,7.00,2500.00,#N/A
28575,22-7-20 14:32:23,0.100,sensor_3 (PSt3),20-7-20 11:22:57,test2.2020-06-01,7.283,ppm (mg/L),16.671,°C,1015.000,hPa,Humid,25,0,,0,29.073,49760,49335.92,7.00,2500.00,#N/A
28579,22-7-20 14:32:26,0.149,sensor_3 (PSt3),20-7-20 11:22:57,test2.2020-06-01,7.291,ppm (mg/L),16.653,°C,1015.000,hPa,Humid,25,0,,0,29.069,49762,49330.74,7.00,2500.00,#N/A
28583,22-7-20 14:32:29,0.200,sensor_3 (PSt3),20-7-20 11:22:57,test2.2020-06-01,7.292,ppm (mg/L),16.659,°C,1015.000,hPa,Humid,25,0,,0,29.064,49758,49331.57,7.00,2500.00,#N/A
28587,22-7-20 14:32:32,0.250,sensor_3 (PSt3),20-7-20 11:22:57,test2.2020-06-01,7.293,ppm (mg/L),16.647,°C,1015.000,hPa,Humid,25,0,,0,29.068,49749,49335.79,7.00,2500.00,#N/A
28591,22-7-20 14:32:35,0.300,sensor_3 (PSt3),20-7-20 11:22:57,test2.2020-06-01,7.292,ppm (mg/L),16.665,°C,1015.000,hPa,Humid,25,0,,0,29.062,49680,49331.63,7.00,2500.00,#N/A
28595,22-7-20 14:32:38,0.350,sensor_3 (PSt3),20-7-20 11:22:57,test2.2020-06-01,7.296,ppm (mg/L),16.634,°C,1015.000,hPa,Humid,25,0,,0,29.069,49778,49332.01,7.00,2500.00,#N/A
28599,22-7-20 14:32:41,0.400,sensor_3 (PSt3),20-7-20 11:22:57,test2.2020-06-01,7.293,ppm (mg/L),16.640,°C,1015.000,hPa,Humid,25,0,,0,29.070,49048,49328.30,7.00,2500.00,#N/A
28603,22-7-20 14:32:44,0.450,sensor_3 (PSt3),20-7-20 11:22:57,test2.2020-06-01,7.289,ppm (mg/L),16.640,°C,1015.000,hPa,Humid,25,0,,0,29.076,49195,49336.50,7.00,2500.00,#N/A
28607,22-7-20 14:32:47,0.500,sensor_3 (PSt3),20-7-20 11:22:57,test2.2020-06-01,7.291,ppm (mg/L),16.640,°C,1015.000,hPa,Humid,25,0,,0,29.073,49230,49333.18,7.00,2500.00,#N/A
28611,22-7-20 14:32:50,0.550,sensor_3 (PSt3),20-7-20 11:22:57,test2.2020-06-01,7.295,ppm (mg/L),16.616,°C,1015.000,hPa,Humid,25,0,,0,29.077,49194,49332.50,7.00,2500.00,#N/A
28615,22-7-20 14:32:53,0.600,sensor_3 (PSt3),20-7-20 11:22:57,test2.2020-06-01,7.289,ppm (mg/L),16.653,°C,1015.000,hPa,Humid,25,0,,0,29.072,49199,49329.35,7.00,2500.00,#N/A
28619,22-7-20 14:32:56,0.650,sensor_3 (PSt3),20-7-20 11:22:57,test2.2020-06-01,7.295,ppm (mg/L),16.653,°C,1015.000,hPa,Humid,25,0,,0,29.063,49203,49327.21,7.00,2500.00,#N/A
28623,22-7-20 14:32:59,0.700,sensor_3 (PSt3),20-7-20 11:22:57,test2.2020-06-01,7.290,ppm (mg/L),16.659,°C,1015.000,hPa,Humid,25,0,,0,29.068,49204,49326.11,7.00,2500.00,#N/A
28627,22-7-20 14:33:02,0.750,sensor_3 (PSt3),20-7-20 11:22:57,test2.2020-06-01,7.291,ppm (mg/L),16.640,°C,1015.000,hPa,Humid,25,0,,0,29.074,49206,49329.70,7.00,2500.00,#N/A
28631,22-7-20 14:33:05,0.800,sensor_3 (PSt3),20-7-20 11:22:57,test2.2020-06-01,7.286,ppm (mg/L),16.653,°C,1015.000,hPa,Humid,25,0,,0,29.076,49207,49328.90,7.00,2500.00,#N/A
28635,22-7-20 14:33:08,0.850,sensor_3 (PSt3),20-7-20 11:22:57,test2.2020-06-01,7.287,ppm (mg/L),16.640,°C,1015.000,hPa,Humid,25,0,,0,29.079,49207,49333.46,7.00,2500.00,#N/A
28639,22-7-20 14:33:11,0.900,sensor_3 (PSt3),20-7-20 11:22:57,test2.2020-06-01,7.277,ppm (mg/L),16.671,°C,1015.000,hPa,Humid,25,0,,0,29.083,49218,49331.14,7.00,2500.00,#N/A
28643,22-7-20 14:33:14,0.950,sensor_3 (PSt3),20-7-20 11:22:57,test2.2020-06-01,7.284,ppm (mg/L),16.653,°C,1015.000,hPa,Humid,25,0,,0,29.079,49218,49328.63,7.00,2500.00,#N/A
28647,22-7-20 14:33:17,0.999,sensor_3 (PSt3),20-7-20 11:22:57,test2.2020-06-01,7.281,ppm (mg/L),16.653,°C,1015.000,hPa,Humid,25,0,,0,29.083,49223,49327.45,7.00,2500.00,#N/A
28651,22-7-20 14:33:20,1.050,sensor_3 (PSt3),20-7-20 11:22:57,test2.2020-06-01,7.285,ppm (mg/L),16.640,°C,1015.000,hPa,Humid,25,0,,0,29.082,49224,49328.21,7.00,2500.00,#N/A
28655,22-7-20 14:33:23,1.100,sensor_3 (PSt3),20-7-20 11:22:57,test2.2020-06-01,7.277,ppm (mg/L),16.659,°C,1015.000,hPa,Humid,25,0,,0,29.087,49227,49332.68,7.00,2500.00,#N/A
