Id,Date,Delta T [min],Sensor,Calibration,User,Oxygen,Oxygen Unit,Temperature,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],User Signal Intensity,Error,Error Code,Phase [°],Amplitude [µV],Reference Amplitude [µV],Signal LED Current,Reference LED Current,Battery [V]
4704,8-8-20 15:30:36,0.000,Sensor3 (PSt3),8-8-20 13:27:33,default,8.336,ppm (mg/L),14.592,°C,1028.000,hPa,Humid,0,0,,0,30.087,48410,49065.65,7.00,2500.00,#N/A
4708,8-8-20 15:30:39,0.050,Sensor3 (PSt3),8-8-20 13:27:33,default,8.338,ppm (mg/L),14.586,°C,1028.000,hPa,Humid,0,0,,0,30.087,48418,49063.81,7.00,2500.00,#N/A
4712,8-8-20 15:30:42,0.099,Sensor3 (PSt3),8-8-20 13:27:33,default,8.344,ppm (mg/L),14.561,°C,1028.000,hPa,Humid,0,0,,0,30.090,48424,49062.31,7.00,2500.00,#N/A
4716,8-8-20 15:30:45,0.150,Sensor3 (PSt3),8-8-20 13:27:33,default,8.348,ppm (mg/L),14.549,°C,1028.000,hPa,Humid,0,0,,0,30.090,48419,49065.64,7.00,2500.00,#N/A
4720,8-8-20 15:30:48,0.200,Sensor3 (PSt3),8-8-20 13:27:33,default,8.346,ppm (mg/L),14.567,°C,1028.000,hPa,Humid,0,0,,0,30.084,48422,49063.44,7.00,2500.00,#N/A
4724,8-8-20 15:30:51,0.250,Sensor3 (PSt3),8-8-20 13:27:33,default,8.349,ppm (mg/L),14.567,°C,1028.000,hPa,Humid,0,0,,0,30.080,48420,49059.39,7.00,2500.00,#N/A
4728,8-8-20 15:30:54,0.300,Sensor3 (PSt3),8-8-20 13:27:33,default,8.341,ppm (mg/L),14.580,°C,1028.000,hPa,Humid,0,0,,0,30.085,48424,49060.84,7.00,2500.00,#N/A
4732,8-8-20 15:30:57,0.350,Sensor3 (PSt3),8-8-20 13:27:33,default,8.332,ppm (mg/L),14.598,°C,1028.000,hPa,Humid,0,0,,0,30.090,48424,49060.23,7.00,2500.00,#N/A
4736,8-8-20 15:31:00,0.399,Sensor3 (PSt3),8-8-20 13:27:33,default,8.332,ppm (mg/L),14.592,°C,1028.000,hPa,Humid,0,0,,0,30.093,48428,49058.84,7.00,2500.00,#N/A
4740,8-8-20 15:31:03,0.450,Sensor3 (PSt3),8-8-20 13:27:33,default,8.336,ppm (mg/L),14.580,°C,1028.000,hPa,Humid,0,0,,0,30.092,48426,49064.21,7.00,2500.00,#N/A
4744,8-8-20 15:31:06,0.499,Sensor3 (PSt3),8-8-20 13:27:33,default,8.338,ppm (mg/L),14.574,°C,1028.000,hPa,Humid,0,0,,0,30.093,48427,49060.58,7.00,2500.00,#N/A
4748,8-8-20 15:31:09,0.550,Sensor3 (PSt3),8-8-20 13:27:33,default,8.339,ppm (mg/L),14.592,°C,1028.000,hPa,Humid,0,0,,0,30.083,48434,49062.26,7.00,2500.00,#N/A
4752,8-8-20 15:31:12,0.600,Sensor3 (PSt3),8-8-20 13:27:33,default,8.339,ppm (mg/L),14.567,°C,1028.000,hPa,Humid,0,0,,0,30.093,48435,49055.92,7.00,2500.00,#N/A
4756,8-8-20 15:31:15,0.650,Sensor3 (PSt3),8-8-20 13:27:33,default,8.340,ppm (mg/L),14.567,°C,1028.000,hPa,Humid,0,0,,0,30.092,48434,49058.21,7.00,2500.00,#N/A
4760,8-8-20 15:31:18,0.700,Sensor3 (PSt3),8-8-20 13:27:33,default,8.328,ppm (mg/L),14.586,°C,1028.000,hPa,Humid,0,0,,0,30.101,48444,49057.26,7.00,2500.00,#N/A
4764,8-8-20 15:31:21,0.749,Sensor3 (PSt3),8-8-20 13:27:33,default,8.338,ppm (mg/L),14.580,°C,1028.000,hPa,Humid,0,0,,0,30.090,48441,49052.59,7.00,2500.00,#N/A
4768,8-8-20 15:31:24,0.800,Sensor3 (PSt3),8-8-20 13:27:33,default,8.331,ppm (mg/L),14.586,°C,1028.000,hPa,Humid,0,0,,0,30.096,48430,49046.13,7.00,2500.00,#N/A
4772,8-8-20 15:31:27,0.850,Sensor3 (PSt3),8-8-20 13:27:33,default,8.345,ppm (mg/L),14.555,°C,1028.000,hPa,Humid,0,0,,0,30.091,48430,49048.76,7.00,2500.00,#N/A
4776,8-8-20 15:31:30,0.899,Sensor3 (PSt3),8-8-20 13:27:33,default,8.343,ppm (mg/L),14.549,°C,1028.000,hPa,Humid,0,0,,0,30.096,48438,49046.81,7.00,2500.00,#N/A
4780,8-8-20 15:31:33,0.950,Sensor3 (PSt3),8-8-20 13:27:33,default,8.332,ppm (mg/L),14.574,°C,1028.000,hPa,Humid,0,0,,0,30.100,48434,49049.34,7.00,2500.00,#N/A
4784,8-8-20 15:31:36,1.000,Sensor3 (PSt3),8-8-20 13:27:33,default,8.334,ppm (mg/L),14.580,°C,1028.000,hPa,Humid,0,0,,0,30.095,48438,49043.28,7.00,2500.00,#N/A
4788,8-8-20 15:31:39,1.049,Sensor3 (PSt3),8-8-20 13:27:33,default,8.337,ppm (mg/L),14.567,°C,1028.000,hPa,Humid,0,0,,0,30.097,48436,49049.21,7.00,2500.00,#N/A
4792,8-8-20 15:31:42,1.100,Sensor3 (PSt3),8-8-20 13:27:33,default,8.323,ppm (mg/L),14.598,°C,1028.000,hPa,Humid,0,0,,0,30.102,48438,49036.10,7.00,2500.00,#N/A
4796,8-8-20 15:31:45,1.150,Sensor3 (PSt3),8-8-20 13:27:33,default,8.331,ppm (mg/L),14.586,°C,1028.000,hPa,Humid,0,0,,0,30.096,48436,49045.74,7.00,2500.00,#N/A
4800,8-8-20 15:31:48,1.200,Sensor3 (PSt3),8-8-20 13:27:33,default,8.329,ppm (mg/L),14.592,°C,1028.000,hPa,Humid,0,0,,0,30.097,48436,49048.90,7.00,2500.00,#N/A
4804,8-8-20 15:31:51,1.250,Sensor3 (PSt3),8-8-20 13:27:33,default,8.319,ppm (mg/L),14.611,°C,1028.000,hPa,Humid,0,0,,0,30.102,48436,49048.53,7.00,2500.00,#N/A
4808,8-8-20 15:31:54,1.299,Sensor3 (PSt3),8-8-20 13:27:33,default,8.327,ppm (mg/L),14.580,°C,1028.000,hPa,Humid,0,0,,0,30.104,48442,49038.34,7.00,2500.00,#N/A
4812,8-8-20 15:31:57,1.350,Sensor3 (PSt3),8-8-20 13:27:33,default,8.325,ppm (mg/L),14.592,°C,1028.000,hPa,Humid,0,0,,0,30.102,48437,49040.68,7.00,2500.00,#N/A
4816,8-8-20 15:32:00,1.400,Sensor3 (PSt3),8-8-20 13:27:33,default,8.317,ppm (mg/L),14.629,°C,1028.000,hPa,Humid,0,0,,0,30.097,48441,49041.67,7.00,2500.00,#N/A
4820,8-8-20 15:32:03,1.449,Sensor3 (PSt3),8-8-20 13:27:33,default,8.328,ppm (mg/L),14.580,°C,1028.000,hPa,Humid,0,0,,0,30.103,48468,49043.87,7.00,2500.00,#N/A
4824,8-8-20 15:32:06,1.500,Sensor3 (PSt3),8-8-20 13:27:33,default,8.328,ppm (mg/L),14.598,°C,1028.000,hPa,Humid,0,0,,0,30.095,48483,49040.19,7.00,2500.00,#N/A
4828,8-8-20 15:32:09,1.550,Sensor3 (PSt3),8-8-20 13:27:33,default,8.326,ppm (mg/L),14.586,°C,1028.000,hPa,Humid,0,0,,0,30.103,48483,49038.80,7.00,2500.00,#N/A
4832,8-8-20 15:32:12,1.600,Sensor3 (PSt3),8-8-20 13:27:33,default,8.326,ppm (mg/L),14.592,°C,1028.000,hPa,Humid,0,0,,0,30.100,48484,49038.98,7.00,2500.00,#N/A
4836,8-8-20 15:32:15,1.650,Sensor3 (PSt3),8-8-20 13:27:33,default,8.337,ppm (mg/L),14.549,°C,1028.000,hPa,Humid,0,0,,0,30.104,48489,49040.32,7.00,2500.00,#N/A
4840,8-8-20 15:32:18,1.699,Sensor3 (PSt3),8-8-20 13:27:33,default,8.320,ppm (mg/L),14.604,°C,1028.000,hPa,Humid,0,0,,0,30.103,48487,49038.40,7.00,2500.00,#N/A
4844,8-8-20 15:32:21,1.750,Sensor3 (PSt3),8-8-20 13:27:33,default,8.329,ppm (mg/L),14.574,°C,1028.000,hPa,Humid,0,0,,0,30.105,48478,49042.49,7.00,2500.00,#N/A
4848,8-8-20 15:32:24,1.800,Sensor3 (PSt3),8-8-20 13:27:33,default,8.328,ppm (mg/L),14.604,°C,1028.000,hPa,Humid,0,0,,0,30.093,48485,49044.76,7.00,2500.00,#N/A
4852,8-8-20 15:32:27,1.849,Sensor3 (PSt3),8-8-20 13:27:33,default,8.331,ppm (mg/L),14.586,°C,1028.000,hPa,Humid,0,0,,0,30.096,48486,49043.54,7.00,2500.00,#N/A
4856,8-8-20 15:32:30,1.900,Sensor3 (PSt3),8-8-20 13:27:33,default,8.319,ppm (mg/L),14.611,°C,1028.000,hPa,Humid,0,0,,0,30.102,48490,49040.19,7.00,2500.00,#N/A
4860,8-8-20 15:32:33,1.950,Sensor3 (PSt3),8-8-20 13:27:33,default,8.319,ppm (mg/L),14.598,°C,1028.000,hPa,Humid,0,0,,0,30.107,48482,49038.38,7.00,2500.00,#N/A
4864,8-8-20 15:32:35,1.999,Sensor3 (PSt3),8-8-20 13:27:33,default,8.325,ppm (mg/L),14.598,°C,1028.000,hPa,Humid,0,0,,0,30.099,48484,49045.13,7.00,2500.00,#N/A
4868,8-8-20 15:32:39,2.050,Sensor3 (PSt3),8-8-20 13:27:33,default,8.322,ppm (mg/L),14.604,°C,1028.000,hPa,Humid,0,0,,0,30.101,48482,49044.47,7.00,2500.00,#N/A
4872,8-8-20 15:32:42,2.100,Sensor3 (PSt3),8-8-20 13:27:33,default,8.330,ppm (mg/L),14.598,°C,1028.000,hPa,Humid,0,0,,0,30.092,48485,49044.52,7.00,2500.00,#N/A
4876,8-8-20 15:32:45,2.150,Sensor3 (PSt3),8-8-20 13:27:33,default,8.316,ppm (mg/L),14.586,°C,1028.000,hPa,Humid,0,0,,0,30.117,48480,49041.17,7.00,2500.00,#N/A
4880,8-8-20 15:32:48,2.200,Sensor3 (PSt3),8-8-20 13:27:33,default,8.324,ppm (mg/L),14.598,°C,1028.000,hPa,Humid,0,0,,0,30.100,48482,49040.35,7.00,2500.00,#N/A
4884,8-8-20 15:32:51,2.250,Sensor3 (PSt3),8-8-20 13:27:33,default,8.317,ppm (mg/L),14.623,°C,1028.000,hPa,Humid,0,0,,0,30.099,48480,49042.53,7.00,2500.00,#N/A
4888,8-8-20 15:32:54,2.300,Sensor3 (PSt3),8-8-20 13:27:33,default,8.312,ppm (mg/L),14.629,°C,1028.000,hPa,Humid,0,0,,0,30.103,48476,49040.73,7.00,2500.00,#N/A
4892,8-8-20 15:32:57,2.350,Sensor3 (PSt3),8-8-20 13:27:33,default,8.314,ppm (mg/L),14.635,°C,1028.000,hPa,Humid,0,0,,0,30.098,48478,49039.89,7.00,2500.00,#N/A
4896,8-8-20 15:33:00,2.400,Sensor3 (PSt3),8-8-20 13:27:33,default,8.321,ppm (mg/L),14.635,°C,1028.000,hPa,Humid,0,0,,0,30.089,48479,49036.60,7.00,2500.00,#N/A
4900,8-8-20 15:33:03,2.450,Sensor3 (PSt3),8-8-20 13:27:33,default,8.311,ppm (mg/L),14.648,°C,1028.000,hPa,Humid,0,0,,0,30.097,48482,49041.62,7.00,2500.00,#N/A
4904,8-8-20 15:33:06,2.500,Sensor3 (PSt3),8-8-20 13:27:33,default,8.308,ppm (mg/L),14.654,°C,1028.000,hPa,Humid,0,0,,0,30.098,48473,49039.46,7.00,2500.00,#N/A
4908,8-8-20 15:33:09,2.550,Sensor3 (PSt3),8-8-20 13:27:33,default,8.315,ppm (mg/L),14.629,°C,1028.000,hPa,Humid,0,0,,0,30.099,48482,49039.89,7.00,2500.00,#N/A
4912,8-8-20 15:33:12,2.600,Sensor3 (PSt3),8-8-20 13:27:33,default,8.319,ppm (mg/L),14.611,°C,1028.000,hPa,Humid,0,0,,0,30.102,48479,49041.32,7.00,2500.00,#N/A
4916,8-8-20 15:33:15,2.650,Sensor3 (PSt3),8-8-20 13:27:33,default,8.324,ppm (mg/L),14.611,°C,1028.000,hPa,Humid,0,0,,0,30.095,48472,49045.09,7.00,2500.00,#N/A
4920,8-8-20 15:33:18,2.700,Sensor3 (PSt3),8-8-20 13:27:33,default,8.323,ppm (mg/L),14.617,°C,1028.000,hPa,Humid,0,0,,0,30.094,48480,49036.71,7.00,2500.00,#N/A
4924,8-8-20 15:33:21,2.749,Sensor3 (PSt3),8-8-20 13:27:33,default,8.320,ppm (mg/L),14.611,°C,1028.000,hPa,Humid,0,0,,0,30.100,48478,49039.27,7.00,2500.00,#N/A
4928,8-8-20 15:33:24,2.800,Sensor3 (PSt3),8-8-20 13:27:33,default,8.318,ppm (mg/L),14.635,°C,1028.000,hPa,Humid,0,0,,0,30.092,48470,49038.51,7.00,2500.00,#N/A
4932,8-8-20 15:33:27,2.850,Sensor3 (PSt3),8-8-20 13:27:33,default,8.333,ppm (mg/L),14.598,°C,1028.000,hPa,Humid,0,0,,0,30.089,48470,49041.19,7.00,2500.00,#N/A
4936,8-8-20 15:33:30,2.899,Sensor3 (PSt3),8-8-20 13:27:33,default,8.322,ppm (mg/L),14.623,°C,1028.000,hPa,Humid,0,0,,0,30.093,48475,49036.15,7.00,2500.00,#N/A
4940,8-8-20 15:33:33,2.950,Sensor3 (PSt3),8-8-20 13:27:33,default,8.321,ppm (mg/L),14.617,°C,1028.000,hPa,Humid,0,0,,0,30.096,48472,49039.26,7.00,2500.00,#N/A
4944,8-8-20 15:33:36,3.000,Sensor3 (PSt3),8-8-20 13:27:33,default,8.318,ppm (mg/L),14.623,°C,1028.000,hPa,Humid,0,0,,0,30.098,48470,49040.04,7.00,2500.00,#N/A
4948,8-8-20 15:33:39,3.049,Sensor3 (PSt3),8-8-20 13:27:33,default,8.326,ppm (mg/L),14.611,°C,1028.000,hPa,Humid,0,0,,0,30.092,48471,49041.98,7.00,2500.00,#N/A
4952,8-8-20 15:33:42,3.100,Sensor3 (PSt3),8-8-20 13:27:33,default,8.314,ppm (mg/L),14.654,°C,1028.000,hPa,Humid,0,0,,0,30.090,48472,49037.04,7.00,2500.00,#N/A
4956,8-8-20 15:33:45,3.150,Sensor3 (PSt3),8-8-20 13:27:33,default,8.317,ppm (mg/L),14.629,°C,1028.000,hPa,Humid,0,0,,0,30.096,48474,49036.64,7.00,2500.00,#N/A
4960,8-8-20 15:33:48,3.199,Sensor3 (PSt3),8-8-20 13:27:33,default,8.320,ppm (mg/L),14.629,°C,1028.000,hPa,Humid,0,0,,0,30.093,48472,49040.89,7.00,2500.00,#N/A
4964,8-8-20 15:33:51,3.250,Sensor3 (PSt3),8-8-20 13:27:33,default,8.319,ppm (mg/L),14.623,°C,1028.000,hPa,Humid,0,0,,0,30.096,48463,49036.45,7.00,2500.00,#N/A
4968,8-8-20 15:33:54,3.300,Sensor3 (PSt3),8-8-20 13:27:33,default,8.318,ppm (mg/L),14.629,°C,1028.000,hPa,Humid,0,0,,0,30.095,48474,49036.84,7.00,2500.00,#N/A
4972,8-8-20 15:33:57,3.349,Sensor3 (PSt3),8-8-20 13:27:33,default,8.319,ppm (mg/L),14.648,°C,1028.000,hPa,Humid,0,0,,0,30.086,48467,49037.26,7.00,2500.00,#N/A
4976,8-8-20 15:34:00,3.400,Sensor3 (PSt3),8-8-20 13:27:33,default,8.316,ppm (mg/L),14.641,°C,1028.000,hPa,Humid,0,0,,0,30.093,48470,49035.29,7.00,2500.00,#N/A
4980,8-8-20 15:34:03,3.450,Sensor3 (PSt3),8-8-20 13:27:33,default,8.312,ppm (mg/L),14.666,°C,1028.000,hPa,Humid,0,0,,0,30.087,48466,49045.88,7.00,2500.00,#N/A
4984,8-8-20 15:34:06,3.500,Sensor3 (PSt3),8-8-20 13:27:33,default,8.319,ppm (mg/L),14.623,°C,1028.000,hPa,Humid,0,0,,0,30.097,48462,49035.88,7.00,2500.00,#N/A
