Id,Date,Delta T [min],Sensor,Calibration,User,Oxygen,Oxygen Unit,Temperature,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],User Signal Intensity,Error,Error Code,Phase [°],Amplitude [µV],Reference Amplitude [µV],Signal LED Current,Reference LED Current,Battery [V]
4703,8-8-20 15:30:36,0.000,Sensor2 (PSt3),8-8-20 13:27:22,default,8.403,ppm (mg/L),14.592,°C,1028.000,hPa,Humid,0,0,,0,29.997,47845,49810.19,7.00,2500.00,#N/A
4707,8-8-20 15:30:39,0.050,Sensor2 (PSt3),8-8-20 13:27:22,default,8.410,ppm (mg/L),14.586,°C,1028.000,hPa,Humid,0,0,,0,29.991,47839,49809.48,7.00,2500.00,#N/A
4711,8-8-20 15:30:42,0.099,Sensor2 (PSt3),8-8-20 13:27:22,default,8.410,ppm (mg/L),14.561,°C,1028.000,hPa,Humid,0,0,,0,30.001,47844,49804.77,7.00,2500.00,#N/A
4715,8-8-20 15:30:45,0.150,Sensor2 (PSt3),8-8-20 13:27:22,default,8.418,ppm (mg/L),14.549,°C,1028.000,hPa,Humid,0,0,,0,29.996,47837,49807.37,7.00,2500.00,#N/A
4719,8-8-20 15:30:48,0.200,Sensor2 (PSt3),8-8-20 13:27:22,default,8.414,ppm (mg/L),14.567,°C,1028.000,hPa,Humid,0,0,,0,29.993,47839,49804.97,7.00,2500.00,#N/A
4723,8-8-20 15:30:51,0.250,Sensor2 (PSt3),8-8-20 13:27:22,default,8.412,ppm (mg/L),14.567,°C,1028.000,hPa,Humid,0,0,,0,29.996,47841,49806.13,7.00,2500.00,#N/A
4727,8-8-20 15:30:54,0.300,Sensor2 (PSt3),8-8-20 13:27:22,default,8.407,ppm (mg/L),14.580,°C,1028.000,hPa,Humid,0,0,,0,29.997,47835,49805.02,7.00,2500.00,#N/A
4731,8-8-20 15:30:57,0.350,Sensor2 (PSt3),8-8-20 13:27:22,default,8.400,ppm (mg/L),14.598,°C,1028.000,hPa,Humid,0,0,,0,29.999,47839,49805.21,7.00,2500.00,#N/A
4735,8-8-20 15:31:00,0.399,Sensor2 (PSt3),8-8-20 13:27:22,default,8.404,ppm (mg/L),14.592,°C,1028.000,hPa,Humid,0,0,,0,29.996,47838,49802.64,7.00,2500.00,#N/A
4739,8-8-20 15:31:03,0.450,Sensor2 (PSt3),8-8-20 13:27:22,default,8.413,ppm (mg/L),14.580,°C,1028.000,hPa,Humid,0,0,,0,29.990,47836,49803.82,7.00,2500.00,#N/A
4743,8-8-20 15:31:06,0.499,Sensor2 (PSt3),8-8-20 13:27:22,default,8.412,ppm (mg/L),14.574,°C,1028.000,hPa,Humid,0,0,,0,29.994,47835,49806.52,7.00,2500.00,#N/A
4747,8-8-20 15:31:09,0.550,Sensor2 (PSt3),8-8-20 13:27:22,default,8.409,ppm (mg/L),14.592,°C,1028.000,hPa,Humid,0,0,,0,29.989,47833,49803.75,7.00,2500.00,#N/A
4751,8-8-20 15:31:12,0.600,Sensor2 (PSt3),8-8-20 13:27:22,default,8.414,ppm (mg/L),14.567,°C,1028.000,hPa,Humid,0,0,,0,29.993,47832,49805.23,7.00,2500.00,#N/A
4755,8-8-20 15:31:15,0.650,Sensor2 (PSt3),8-8-20 13:27:22,default,8.416,ppm (mg/L),14.567,°C,1028.000,hPa,Humid,0,0,,0,29.991,47843,49808.05,7.00,2500.00,#N/A
4759,8-8-20 15:31:18,0.700,Sensor2 (PSt3),8-8-20 13:27:22,default,8.412,ppm (mg/L),14.586,°C,1028.000,hPa,Humid,0,0,,0,29.988,47831,49802.69,7.00,2500.00,#N/A
4763,8-8-20 15:31:21,0.749,Sensor2 (PSt3),8-8-20 13:27:22,default,8.410,ppm (mg/L),14.580,°C,1028.000,hPa,Humid,0,0,,0,29.993,47829,49794.65,7.00,2500.00,#N/A
4767,8-8-20 15:31:24,0.800,Sensor2 (PSt3),8-8-20 13:27:22,default,8.411,ppm (mg/L),14.586,°C,1028.000,hPa,Humid,0,0,,0,29.989,47820,49790.04,7.00,2500.00,#N/A
4771,8-8-20 15:31:27,0.850,Sensor2 (PSt3),8-8-20 13:27:22,default,8.419,ppm (mg/L),14.555,°C,1028.000,hPa,Humid,0,0,,0,29.992,47822,49789.55,7.00,2500.00,#N/A
4775,8-8-20 15:31:30,0.899,Sensor2 (PSt3),8-8-20 13:27:22,default,8.424,ppm (mg/L),14.549,°C,1028.000,hPa,Humid,0,0,,0,29.988,47816,49785.68,7.00,2500.00,#N/A
4779,8-8-20 15:31:33,0.950,Sensor2 (PSt3),8-8-20 13:27:22,default,8.406,ppm (mg/L),14.574,°C,1028.000,hPa,Humid,0,0,,0,30.001,47823,49789.50,7.00,2500.00,#N/A
4783,8-8-20 15:31:36,1.000,Sensor2 (PSt3),8-8-20 13:27:22,default,8.412,ppm (mg/L),14.580,°C,1028.000,hPa,Humid,0,0,,0,29.991,47820,49790.90,7.00,2500.00,#N/A
4787,8-8-20 15:31:39,1.049,Sensor2 (PSt3),8-8-20 13:27:22,default,8.413,ppm (mg/L),14.567,°C,1028.000,hPa,Humid,0,0,,0,29.995,47829,49791.53,7.00,2500.00,#N/A
4791,8-8-20 15:31:42,1.100,Sensor2 (PSt3),8-8-20 13:27:22,default,8.407,ppm (mg/L),14.598,°C,1028.000,hPa,Humid,0,0,,0,29.990,47818,49788.73,7.00,2500.00,#N/A
4795,8-8-20 15:31:45,1.150,Sensor2 (PSt3),8-8-20 13:27:22,default,8.415,ppm (mg/L),14.586,°C,1028.000,hPa,Humid,0,0,,0,29.984,47823,49786.27,7.00,2500.00,#N/A
4799,8-8-20 15:31:48,1.200,Sensor2 (PSt3),8-8-20 13:27:22,default,8.408,ppm (mg/L),14.592,°C,1028.000,hPa,Humid,0,0,,0,29.991,47814,49788.91,7.00,2500.00,#N/A
4803,8-8-20 15:31:51,1.250,Sensor2 (PSt3),8-8-20 13:27:22,default,8.400,ppm (mg/L),14.611,°C,1028.000,hPa,Humid,0,0,,0,29.994,47819,49787.49,7.00,2500.00,#N/A
4807,8-8-20 15:31:54,1.299,Sensor2 (PSt3),8-8-20 13:27:22,default,8.415,ppm (mg/L),14.580,°C,1028.000,hPa,Humid,0,0,,0,29.987,47818,49787.14,7.00,2500.00,#N/A
4811,8-8-20 15:31:57,1.350,Sensor2 (PSt3),8-8-20 13:27:22,default,8.415,ppm (mg/L),14.592,°C,1028.000,hPa,Humid,0,0,,0,29.982,47817,49788.55,7.00,2500.00,#N/A
4815,8-8-20 15:32:00,1.400,Sensor2 (PSt3),8-8-20 13:27:22,default,8.395,ppm (mg/L),14.629,°C,1028.000,hPa,Humid,0,0,,0,29.992,47815,49790.53,7.00,2500.00,#N/A
4819,8-8-20 15:32:03,1.449,Sensor2 (PSt3),8-8-20 13:27:22,default,8.412,ppm (mg/L),14.580,°C,1028.000,hPa,Humid,0,0,,0,29.991,47822,49782.50,7.00,2500.00,#N/A
4823,8-8-20 15:32:06,1.500,Sensor2 (PSt3),8-8-20 13:27:22,default,8.404,ppm (mg/L),14.598,°C,1028.000,hPa,Humid,0,0,,0,29.994,47796,49786.68,7.00,2500.00,#N/A
4827,8-8-20 15:32:09,1.550,Sensor2 (PSt3),8-8-20 13:27:22,default,8.418,ppm (mg/L),14.586,°C,1028.000,hPa,Humid,0,0,,0,29.980,47803,49788.96,7.00,2500.00,#N/A
4831,8-8-20 15:32:12,1.600,Sensor2 (PSt3),8-8-20 13:27:22,default,8.401,ppm (mg/L),14.592,°C,1028.000,hPa,Humid,0,0,,0,30.000,47794,49789.98,7.00,2500.00,#N/A
